MASAS   EXCENTRICIDADES POSICIONES
1.989E30    0   0
3.303E23    0.205630690 0.69817445E11
4.869E24    0.0068  1.08942780E11
5.972E24    0.01671 1.52098233E11
0.642E24    0.0934  2.49232432E11
1898E24 0.0484  8.16001807E11
568E24  0.0542  15.03509229E11
86.8E24 0.0444  30.06318143E11
102.43E24   0.00859 45.37039826E11
1.303E22    0.25    73.76124302E11
5.972E24    0.02    100.00000000E11
5.972E24    0.02    110.00000000E11
5.972E24    0.02    120.00000000E11
5.972E24    0.02    130.00000000E11
5.972E24    0.02    140.00000000E11
5.972E24    0.02    150.00000000E11
5.972E24    0.02    160.00000000E11
5.972E24    0.02    170.00000000E11
5.972E24    0.02    180.00000000E11
5.972E24    0.02    190.00000000E11
5.972E24    0.02    200.00000000E11
5.972E24    0.02    210.00000000E11
5.972E24    0.02    220.00000000E11
5.972E24    0.02    230.00000000E11
5.972E24    0.02    240.00000000E11
5.972E24    0.02    250.00000000E11
5.972E24    0.02    260.00000000E11
5.972E24    0.02    270.00000000E11
5.972E24    0.02    280.00000000E11
5.972E24    0.02    290.00000000E11
