MASAS    VELOCIDADES POSICIONES
1.989E30    0   0
3.303E23    47890 57.9E9
4.869E24    35030  108.2E9
5.972E24    29790 1.52098233E11
0.642E24    24130  2.279E11
1898E24 13100  7.786E11
568E24  9700  14.335E11
86.8E24 6800  28.725E11
102.43E24   5400 44.951E11
1.303E22    4700    58.70E11
5.972E24    4000    100.00000000E11
5.972E24     4000    110.00000000E11
5.972E24     4000    120.00000000E11
5.972E24     4000    130.00000000E11
5.972E24     4000    140.00000000E11
5.972E24     4000    150.00000000E11
5.972E24     4000    160.00000000E11
5.972E24     4000    170.00000000E11
5.972E24     4000    180.00000000E11
5.972E24     4000    190.00000000E11
5.972E24     4000    200.00000000E11
5.972E24     4000    210.00000000E11
5.972E24     4000    220.00000000E11
5.972E24     4000    230.00000000E11
5.972E24     4000    240.00000000E11
5.972E24     4000    250.00000000E11
5.972E24     4000    260.00000000E11
5.972E24     4000    270.00000000E11
5.972E24     4000    280.00000000E11
5.972E24     4000    290.00000000E11
